Source plate ;Source well ;Destination plate ID;Destination well;Volume source well;replica
S3;A10;D1;A12;50;3
S1;A1;D1;A1;50;2
S1;A7;D1;A3;50;2
S1;A10;D1;A4;50;3
S2;A4;D1;A6;50;1
S2;A7;D1;A7;50;2
S2;A10;D1;A8;50;3
S3;A1;D1;A9;50;2
S3;D4;D1;B10;50;3
S1;D1;D1;B1;50;3
S1;D4;D1;B2;50;3
S1;D7;D1;B3;50;2
S1;D10;D1;B4;50;2
S2;D1;D1;B5;50;3
S2;D4;D1;B6;50;3
S2;D7;D1;B7;50;2
S2;D10;D1;B8;50;2
S3;D1;D1;B9;50;3
S3;G4;D1;C10;50;3
S3;G7;D1;C11;50;3
S3;G10;D1;C12;50;3
S1;G1;D1;C1;50;3
S1;G4;D1;C2;50;3
S1;G7;D1;C3;50;3
S1;G10;D1;C4;50;3
S2;G1;D1;C5;50;3
S2;G4;D1;C6;50;3
S2;G7;D1;C7;50;3
S2;G10;D1;C8;50;3
S3;G1;D1;C9;50;3
S3;B5;D1;D10;50;3
S3;B8;D1;D11;50;3
S1;B2;D1;D1;50;3
S1;B5;D1;D2;50;3
S1;B8;D1;D3;50;3
S1;B11;D1;D4;50;2
S2;B2;D1;D5;50;3
S2;B5;D1;D6;50;3
S2;B8;D1;D7;50;3
S2;B11;D1;D8;50;2
S3;B2;D1;D9;50;3
S3;E5;D1;E10;50;2
S3;E8;D1;E11;50;3
S3;E11;D1;E12;50;3
S1;E2;D1;E1;50;3
S1;E8;D1;E3;50;3
S1;E11;D1;E4;50;3
S2;E2;D1;E5;50;3
S2;E5;D1;E6;50;2
S2;E8;D1;E7;50;3
S2;E11;D1;E8;50;3
S3;E2;D1;E9;50;3
S3;H5;D1;F10;50;2
S3;H11;D1;F12;50;3
S1;H2;D1;F1;50;3
S1;H8;D1;F3;50;2
S1;H11;D1;F4;50;3
S2;H2;D1;F5;50;3
S2;H5;D1;F6;50;2
S2;H8;D1;F7;50;2
S2;H11;D1;F8;50;3
S3;H2;D1;F9;50;3
S3;C9;D1;G11;50;3
S1;C3;D1;G1;50;3
S1;C6;D1;G2;50;2
S1;C9;D1;G3;50;3
S1;C12;D1;G4;50;2
S2;C3;D1;G5;50;3
S2;C6;D1;G6;50;2
S2;C9;D1;G7;50;3
S2;C12;D1;G8;50;2
S3;C3;D1;G9;50;3
S1;F3;D1;H1;50;1
S1;F6;D1;H2;50;1
S1;F12;D1;H4;50;1
S2;F9;D1;H7;50;1
S1;C10;D3;A4;50;2
S2;C7;D3;A7;50;1
S2;C10;D3;A8;50;2
S3;C1;D3;A9;50;1
S1;F1;D3;B1;50;2
S1;F7;D3;B3;50;1
S1;F10;D3;B4;50;1
S2;F4;D3;B6;50;1
S3;F1;D3;B9;50;2
S1;A2;D3;C1;50;1
S1;A5;D3;C2;50;2
S1;A8;D3;C3;50;2
S1;A11;D3;C4;50;1
S2;A5;D3;C6;50;2
S2;A8;D3;C7;50;2
S1;D2;D3;D1;50;3
S1;D5;D3;D2;50;2
S1;D8;D3;D3;50;2
S1;D11;D3;D4;50;2
S2;D2;D3;D5;50;3
S2;D5;D3;D6;50;2
S2;D8;D3;D7;50;2
S2;D11;D3;D8;50;2
S3;D2;D3;D9;50;3
S3;G8;D3;E11;50;2
S1;G8;D3;E3;50;2
S1;G11;D3;E4;50;2
S2;G2;D3;E5;50;2
S2;G11;D3;E8;50;2
S3;G2;D3;E9;50;2
S3;B6;D3;F10;50;1
S3;B12;D3;F12;50;2
S1;B3;D3;F1;50;3
S1;B9;D3;F3;50;1
S2;B3;D3;F5;50;3
S2;B12;D3;F8;50;2
S3;B3;D3;F9;50;3
S1;E3;D3;G1;50;3
S1;E6;D3;G2;50;2
S1;E9;D3;G3;50;2
S1;E12;D3;G4;50;2
S2;E3;D3;G5;50;3
S2;E6;D3;G6;50;2
S2;E9;D3;G7;50;2
S2;E12;D3;G8;50;2
S3;E3;D3;G9;50;3
S1;H3;D3;H1;50;1
S1;H6;D3;H2;50;1
S1;B1;D2;A1;50;2
S1;B7;D2;A3;50;2
S1;B10;D2;A4;50;2
S2;B7;D2;A7;50;2
S2;B10;D2;A8;50;2
S3;B1;D2;A9;50;2
S1;E1;D2;B1;50;3
S1;E7;D2;B3;50;1
S1;E10;D2;B4;50;2
S2;E1;D2;B5;50;3
S2;E4;D2;B6;50;1
S2;E10;D2;B8;50;2
S3;E1;D2;B9;50;3
S3;H4;D2;C10;50;3
S3;H7;D2;C11;50;3
S1;H1;D2;C1;50;3
S1;H4;D2;C2;50;3
S1;H7;D2;C3;50;3
S1;H10;D2;C4;50;2
S2;H1;D2;C5;50;3
S2;H4;D2;C6;50;3
S2;H7;D2;C7;50;3
S2;H10;D2;C8;50;2
S3;H1;D2;C9;50;3
S3;C8;D2;D11;50;3
S1;C2;D2;D1;50;3
S1;C5;D2;D2;50;2
S1;C8;D2;D3;50;3
S1;C11;D2;D4;50;2
S2;C2;D2;D5;50;3
S2;C5;D2;D6;50;2
S2;C8;D2;D7;50;3
S2;C11;D2;D8;50;2
S3;C2;D2;D9;50;3
S3;F8;D2;E11;50;3
S1;F2;D2;E1;50;3
S1;F8;D2;E3;50;3
S1;F11;D2;E4;50;2
S2;F2;D2;E5;50;3
S2;F8;D2;E7;50;3
S2;F11;D2;E8;50;2
S3;F2;D2;E9;50;3
S3;A6;D2;F10;50;1
S3;A12;D2;F12;50;3
S1;A3;D2;F1;50;3
S1;A9;D2;F3;50;1
S1;A12;D2;F4;50;3
S2;A3;D2;F5;50;3
S2;A12;D2;F8;50;3
S3;A3;D2;F9;50;3
S1;D3;D2;G1;50;3
S1;D6;D2;G2;50;2
S1;D9;D2;G3;50;2
S1;D12;D2;G4;50;2
S2;D3;D2;G5;50;3
S2;D6;D2;G6;50;2
S2;D9;D2;G7;50;2
S2;D12;D2;G8;50;2
S3;D3;D2;G9;50;3
S1;G3;D2;H1;50;1
S1;G6;D2;H2;50;1
S1;G12;D2;H4;50;1
S2;G9;D2;H7;50;1
